name,address,district,lat,lng,mapped_region_id
그랑블루요트,제주 서귀포시 대포로 172-7 그랑블루요트,,33.2382505,126.4395475,jeju
그림카페,서울 마포구 와우산로 29-18,마포구,37.5473957,126.9219395,seoul
제주금당목장 ATV,제주 서귀포시 안덕면 동광리 산65,,33.3388298,126.3387197,jeju
김녕왕발통,제주 제주시 구좌읍 김녕로21길 23,,33.5578777,126.7549746,jeju
김녕미로공원,제주 제주시 구좌읍 만장굴길 122,,33.5362945,126.7720257,jeju
제주 김녕요트투어,제주 제주시 구좌읍 구좌해안로 229-16,,33.5582417,126.736875,jeju
낙타트래킹,제주 서귀포시 표선면 번영로 2564-21,,33.4026984,126.7786456,jeju
노리매,제주 서귀포시 대정읍 중산간서로 2260-15 노리매,,33.2825442,126.2873438,jeju
대유ATV수렵사격랜드,제주 서귀포시 상예로 381,,33.2776169,126.395062,jeju
제주 댕냥별,제주 서귀포시 안덕면 신화역사로304번길 89 1층,,33.3028884,126.3175373,jeju
댕댕투어패스,정보 없음,,,,
더 숲 아로마,제주 제주시 애월읍 고내로9길 39 1층,,33.466645,126.3374153,jeju
더 힐링타임,제주 제주시 서해안로 652,,33.5159846,126.5065458,jeju
제주 아리랑 혼,제주 서귀포시 표선면 번영로 2564-21 제주 아리랑,,33.4027196,126.7786294,jeju
도치돌알파카목장,제주 제주시 애월읍 도치돌길 303 도치돌목장,,33.4097232,126.3667613,jeju
돌담프룻,제주 서귀포시 안덕면 일주서로 1365 다홍색지붕건물1층,,33.2622744,126.3691606,jeju
제주 돌문화공원,제주 제주시 조천읍 남조로 2023 제주돌문화공원,,33.4488381,126.6610153,jeju
드론파크,제주 제주시 조천읍 남조로 2109-36,,33.4539873,126.6571421,jeju
드르쿰다 in 성산,제주 서귀포시 성산읍 섭지코지로25번길 64,,33.4444699,126.9191113,jeju
목장카페 드르쿰다,제주 서귀포시 표선면 번영로 2454,,33.4094639,126.770373,jeju
아라고나이트 온천＆수영장,제주 서귀포시 안덕면 산록남로762번길 71,,33.3031138,126.3924251,jeju
레이저레나엑스 제주점,제주 서귀포시 소보리당로164번길 62 중문랜드 1층,,33.254,126.412,jeju
레일바이크,경기 의왕시 왕송못동로 221,의왕시,37.3095191,126.9507875,gyeonggi
머맨스쿠버,서울 강남구 논현로26길 30-8,강남구,37.4827352,127.0450733,seoul
메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47 메이즈랜드,,33.4879942,126.801012,jeju
목장카페 밭디,제주 서귀포시 표선면 번영로 2486,,33.4078931,126.7729329,jeju
제주민속촌,제주 서귀포시 표선면 민속해안로 631-34 제주민속촌,,33.324438,126.8421323,jeju
박물관은살아있다,서울 종로구 인사동길 12 대일빌딩 지하1층,종로구,37.5718987,126.9872482,seoul
불빛정원,서울 노원구 화랑로 608,노원구,37.6244509,127.0930898,seoul
힐링파크 비체올린,서울 영등포구 영등포로 272,영등포구,37.5183293,126.911478,seoul
사려니 ATV＆승마,"서울 영등포구 문래로 180 2층 208, 209호",영등포구,37.5179628,126.9020104,seoul
산굼부리,제주 제주시 조천읍 비자림로 768,,33.4342179,126.6887629,jeju
산방산유람선,제주 서귀포시 안덕면 화순해안로106번길 16,,33.2370398,126.3352069,jeju
산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,,33.2490187,126.2988035,jeju
산양큰엉곶,제주 제주시 한경면 연명로 179,,33.2909312,126.2506277,jeju
상효수목원,제주 서귀포시 산록남로 2847-37,,33.3060089,126.5846818,jeju
새별 ATV,제주 서귀포시 안덕면 동광리 산65,,33.3388298,126.3387197,jeju
서귀포다이브센터,제주 서귀포시 남원읍 하례망장포로 65-13 2층,,33.2592505,126.6394465,jeju
서프라이즈 테마파크,제주 제주시 조천읍 남조로 2243,,33.4651914,126.6596074,jeju
서핑도,서울 영등포구 여의서로 160,영등포구,37.5347989,126.9098794,seoul
석예원 본초족욕 성산,제주 서귀포시 성산읍 섭지코지로25번길 34 2층,,33.442082,126.9195864,jeju
섭지코지 깡통열,제주 서귀포시 성산읍 고성리,,33.4237681,126.93078,jeju
성산 스쿠버 리조트,제주 서귀포시 성산읍 일출로 258-5 성산스쿠버리조트,,33.4609297,126.933584,jeju
성산포유람선,제주 서귀포시 성산읍 성산등용로 130-21 1층(성산포종합여객터미널),,33.472928,126.9345062,jeju
성지도예,제주 서귀포시 표선면 성읍이리로 85,,33.4114701,126.7743246,jeju
세계자동차＆피아노박물관,제주 서귀포시 안덕면 중산간서로 1610 세계자동차 제주박물관,,33.2834505,126.3498913,jeju
소랑 ATV＆승마,제주 서귀포시 남원읍 서성로 955-117 1동 1층 101호,,33.3404485,126.6834324,jeju
소인국테마파크,제주 서귀포시 안덕면 화순서동로 347 (서광리 164) 소인국테마파크,,33.2820357,126.331768,jeju
송악카트,제주 서귀포시 대정읍 송악관광로 404,,33.2084069,126.2891562,jeju
쇠소깍산물관광농원,제주 서귀포시 남원읍 하례로 90,,33.2578721,126.6247053,jeju
스누피가든,제주 제주시 구좌읍 금백조로 930,,33.4441306,126.7781683,jeju
스카이온파이브다이닝,정보 없음,,,,
스파엔아로마테라피,인천 부평구 광장로4번길 8 3층,부평구,37.4908329,126.7222424,incheon
제주실탄사격장,제주 서귀포시 소보리당로164번길 62 3층,,33.2636714,126.3855463,jeju
씨에스 호텔,제주 서귀포시 중문관광로 198,,33.2429595,126.4197249,jeju
아르떼키즈파크,제주 제주시 애월읍 월각로 929,,33.3539453,126.3585968,jeju
아이올레인포레스트,제주 제주시 구좌읍 덕행로 359 아이올레인포레스트,,33.5183545,126.7877598,jeju
알프스 제주,제주 서귀포시 표선면 서성일로 73,,33.3986419,126.8025506,jeju
제주 양떼목장,제주 제주시 애월읍 도치돌길 289-13,,33.411238,126.3653108,jeju
액트몬,경기 용인시 기흥구 신고매로 59 리빙파워센터 B3층,용인시,37.2235019,127.1142401,gyeonggi
에코랜드 테마파크,제주 제주시 조천읍 번영로 1278-169,,33.4470257,126.667399,jeju
오늘은 카트레이싱,제주 서귀포시 표선면 중산간동로 4772 오늘은녹차한잔 카트장,,33.3818497,126.7910726,jeju
오늘은녹차족욕,제주 서귀포시 표선면 중산간동로 4772 성읍리 2197-11,,33.3818449,126.791065,jeju
제주 오레브스파,정보 없음,,,,
제주오름승마랜드,제주 제주시 조천읍 번영로 1734-15,,33.4494079,126.7123674,jeju
오름ATV,정보 없음,,,,
오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15 오설록,,33.3060843,126.2893926,jeju
우도잠수함,제주 서귀포시 성산읍 성산등용로 112-7,,33.4719649,126.9329901,jeju
우도정원,제주 제주시 우도면 천진길 105,,33.5014848,126.9471775,jeju
우도투어패스,정보 없음,,,,
