Original,TranslationFormula
"겨울이야기","=GOOGLETRANSLATE(A68, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 6월 13일(토) 11시, 2시, 4시","=GOOGLETRANSLATE(A69, ""ko"", ""ja"")"
"교실 속 마술대소동! （성동）","=GOOGLETRANSLATE(A70, ""ko"", ""ja"")"
"성수아트홀","=GOOGLETRANSLATE(A71, ""ko"", ""ja"")"
"서울 성동구 성수1가2동 왕십리로6길","=GOOGLETRANSLATE(A72, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 6월 6일(토) ~ 6월 7일(일) 11시, 14시","=GOOGLETRANSLATE(A73, ""ko"", ""ja"")"
"국립창극단 〈보허자(步虛子): 허공을 걷는 자〉","=GOOGLETRANSLATE(A74, ""ko"", ""ja"")"
"국립극장 달오름극장","=GOOGLETRANSLATE(A75, ""ko"", ""ja"")"
"서울 중구 장충단로 59","=GOOGLETRANSLATE(A76, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 3월 19일(목) ~ 3월 29일(일)
화,수,목,금 19:30 / 토,일 15:00","=GOOGLETRANSLATE(A77, ""ko"", ""ja"")"
"국립창극단 〈절창VI〉","=GOOGLETRANSLATE(A78, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 4월 24일(금) 19:30
2026년 4월 25일(토) 15:00","=GOOGLETRANSLATE(A79, ""ko"", ""ja"")"
"국립창극단 〈효명〉","=GOOGLETRANSLATE(A80, ""ko"", ""ja"")"
"국립극장 해오름극장","=GOOGLETRANSLATE(A81, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 6월 23일(화) ~ 6월 28일(일)
화,수,목,금 19:30 / 토,일 15:00","=GOOGLETRANSLATE(A82, ""ko"", ""ja"")"
"꼬마박사 장영실 - 종로","=GOOGLETRANSLATE(A83, ""ko"", ""ja"")"
"아이들극장","=GOOGLETRANSLATE(A84, ""ko"", ""ja"")"
"서울 종로구 성균관로 91","=GOOGLETRANSLATE(A85, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 30일(토) ~ 5월 31일(일) 11시 / 15시","=GOOGLETRANSLATE(A86, ""ko"", ""ja"")"
"나쁜 말 먹는 괴물","=GOOGLETRANSLATE(A87, ""ko"", ""ja"")"
"명륜아트홀","=GOOGLETRANSLATE(A88, ""ko"", ""ja"")"
"서울특별시 종로구 성균관로 48-2 (명륜1가)","=GOOGLETRANSLATE(A89, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지*2월
2월 28일(토) 11:30

*3월
3월 21일(토) 11:30
3월 28일(토) 11:30","=GOOGLETRANSLATE(A90, ""ko"", ""ja"")"
"난타(NANTA) - 명동공연","=GOOGLETRANSLATE(A91, ""ko"", ""ja"")"
"명동난타극장","=GOOGLETRANSLATE(A92, ""ko"", ""ja"")"
"서울특별시 중구 명동길 26 (명동2가)","=GOOGLETRANSLATE(A93, ""ko"", ""ja"")"
"예매가능시간: 관람전일 19시 까지▶ 01월 01일(목) ~ 06월 30일(화)평일 17시, 20시 / 토 14시, 17시, 20시 / 일 및 공휴일 14시, 17시※ 05월 05일(화) 14시, 17시, 20시※ 05월 25일(월) 14시, 17시 ※ 06월 03일(수) 17시, 20시※ 06월 06일(토) 14시, 17시, 20시* 공연 스케줄은 변동 가능성 있음","=GOOGLETRANSLATE(A94, ""ko"", ""ja"")"
"난타(NANTA) - 홍대공연","=GOOGLETRANSLATE(A95, ""ko"", ""ja"")"
"홍대난타극장","=GOOGLETRANSLATE(A96, ""ko"", ""ja"")"
"서울 마포구 양화로16길 29","=GOOGLETRANSLATE(A97, ""ko"", ""ja"")"
"예매가능시간: 관람전일 19시 까지 ▶ 03월 01일(일) ~ 06월 30일(화)수~금 17시 / 토 14시, 17시 / 일 14시 (월,화 공연 없음)※ 04월 06일(월) 17시※ 04월 07일(화) 17시※ 05월 03일(일) 14시, 17시※ 05월 04일(월) 17시※ 05월 05일(화) 14시, 17시※ 05월 24일(일) 14시, 17시※ 05월 25일(월) 14시 * 공연 스케줄은 변동 가능성 있음","=GOOGLETRANSLATE(A98, ""ko"", ""ja"")"
"더 트라이브","=GOOGLETRANSLATE(A99, ""ko"", ""ja"")"
"세종문화회관 M씨어터","=GOOGLETRANSLATE(A100, ""ko"", ""ja"")"
"서울 종로구 세종대로 175","=GOOGLETRANSLATE(A101, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지화,수,목,금 오후 7시 30분 / 토 오후 3시, 7시 / 일 오후 3시","=GOOGLETRANSLATE(A102, ""ko"", ""ja"")"
"도서관에 간 여우","=GOOGLETRANSLATE(A103, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 3월 14일(토) 11:30, 14:00 
2026년 3월 21일(토) 11:30, 14:00
2026년 4월 12일(일) 11:30, 14:00","=GOOGLETRANSLATE(A104, ""ko"", ""ja"")"
"로맨틱 뮤지컬 〈투모로우 모닝〉","=GOOGLETRANSLATE(A105, ""ko"", ""ja"")"
"큐씨어터","=GOOGLETRANSLATE(A106, ""ko"", ""ja"")"
"서울 종로구 대학로8가길 79","=GOOGLETRANSLATE(A107, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지화,목,금 7시 30분 / 수 4시, 7시 30분 / 토 3시, 6시 30분 / 일(공휴일) 2시","=GOOGLETRANSLATE(A108, ""ko"", ""ja"")"
"명작 가족뮤지컬 〈오즈의 마법사〉","=GOOGLETRANSLATE(A109, ""ko"", ""ja"")"
"달밤엔씨어터","=GOOGLETRANSLATE(A110, ""ko"", ""ja"")"
"서울특별시 종로구 대학로14길 18-2 (혜화동)","=GOOGLETRANSLATE(A111, ""ko"", ""ja"")"
"예매가능시간: 관람전일 23시까지

-3/1까지
매주 토요일 1시
*3/1(일) 1시

-3/7부터
매주 토요일 2시","=GOOGLETRANSLATE(A112, ""ko"", ""ja"")"
"문나이트 댄스 뮤지컬","=GOOGLETRANSLATE(A113, ""ko"", ""ja"")"
"숭실대학교 한경직기념관","=GOOGLETRANSLATE(A114, ""ko"", ""ja"")"
"서울특별시 동작구 상도로 369 (상도동)","=GOOGLETRANSLATE(A115, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 3월 21일(토) 18시","=GOOGLETRANSLATE(A116, ""ko"", ""ja"")"
"뮤지컬 〈걸프렌드〉","=GOOGLETRANSLATE(A117, ""ko"", ""ja"")"
"백암아트홀","=GOOGLETRANSLATE(A118, ""ko"", ""ja"")"
"서울특별시 강남구 테헤란로113길 7 (삼성동)","=GOOGLETRANSLATE(A119, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지평일 : 19시 30분 / 토요일 : 14시,18시 / 일,공휴일 : 15시
* 월요일 공연없음. 단, 5월 25일 15시 / 5월 26일 공연 없음","=GOOGLETRANSLATE(A120, ""ko"", ""ja"")"
"뮤지컬 〈김종욱 찾기〉","=GOOGLETRANSLATE(A121, ""ko"", ""ja"")"
"대학로 틴틴홀","=GOOGLETRANSLATE(A122, ""ko"", ""ja"")"
"서울 종로구 대학로10길 24","=GOOGLETRANSLATE(A123, ""ko"", ""ja"")"
"예매가능시간: 관람 1분 전까지평일 : 2시, 5시, 8시 
주말 및 공휴일 : 1시, 3시 10분, 5시 30분, 7시 40분","=GOOGLETRANSLATE(A124, ""ko"", ""ja"")"
"뮤지컬 〈너를 위한 글자〉","=GOOGLETRANSLATE(A125, ""ko"", ""ja"")"
"링크아트센터드림 드림4관","=GOOGLETRANSLATE(A126, ""ko"", ""ja"")"
"서울 종로구 대학로 124","=GOOGLETRANSLATE(A127, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지화,수,목,금 8시 | 토 3시, 7시 | 일 및 공휴일 2시, 6시 (월 공연 없음)","=GOOGLETRANSLATE(A128, ""ko"", ""ja"")"
"뮤지컬 〈담배가게 아가씨〉","=GOOGLETRANSLATE(A129, ""ko"", ""ja"")"
"대학로 하마씨어터","=GOOGLETRANSLATE(A130, ""ko"", ""ja"")"
"서울 종로구 대학로10길 15","=GOOGLETRANSLATE(A131, ""ko"", ""ja"")"
"3월 8일 (일) 5시[송연화 역] 조윤슬 -> 정유나3/14(토) 2시[송창식 역] 정재욱 > 박형준3/14(토) 5시 [송창식 역] 박형준 > 정재욱3월 22일 (일) 2시 [송창식 역] 김율 --> 정재욱3/22(일) 2시 [송연화 역] 오승희 --> 강유진3월 22일 (일)  5시 [예가람 역]박태준-> 리키3/22(일) 5시[송연화 역] 강유진 > 오승희 3월 25일 (수) 7시30분 [예가람 역] 리키-> 박태준 3/27(금) 19시 30분[방수애 역] 우서라 --> 서태인 3/28(토) 5시[방수애 역] 서태인 --> 우서라 (*막공) 3/29(일) 5시[송창식 역] 정재욱 --> 김율 (*막공)","=GOOGLETRANSLATE(A132, ""ko"", ""ja"")"
"뮤지컬 〈더 테일 에이프릴 풀스〉","=GOOGLETRANSLATE(A133, ""ko"", ""ja"")"
"예스24스테이지 2관","=GOOGLETRANSLATE(A134, ""ko"", ""ja"")"
"서울 종로구 대학로12길 21","=GOOGLETRANSLATE(A135, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지화, 목, 금 8시 / 수 4시, 8시 / 주말 및 공휴일 2시, 6시 (월 공연 없음, 일자별 상이)","=GOOGLETRANSLATE(A136, ""ko"", ""ja"")"
"뮤지컬 〈디아길레프〉","=GOOGLETRANSLATE(A137, ""ko"", ""ja"")"
"예스24아트원 1관","=GOOGLETRANSLATE(A138, ""ko"", ""ja"")"
"서울 종로구 대학로12길 83","=GOOGLETRANSLATE(A139, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지화, 목, 금 8시 / 수 4시, 8시 / 토 3시, 7시 / 일, 공휴일 2시, 6시 / 월 공연 없음","=GOOGLETRANSLATE(A140, ""ko"", ""ja"")"
"뮤지컬 〈로미오와 줄리엣〉","=GOOGLETRANSLATE(A141, ""ko"", ""ja"")"
"한전아트센터","=GOOGLETRANSLATE(A142, ""ko"", ""ja"")"
"서울특별시 서초구 효령로72길 60 (서초동)","=GOOGLETRANSLATE(A143, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지화~금요일 : 오후 7시30분 / 토요일 : 오후 2시, 오후 7시 / 일요일 : 오후 2시

※ 단, 3월 25일, 4월 01일 수요일 14시 30분, 19시 30분 - 2회차","=GOOGLETRANSLATE(A144, ""ko"", ""ja"")"
"뮤지컬 〈몽유도원〉","=GOOGLETRANSLATE(A145, ""ko"", ""ja"")"
"샤롯데씨어터","=GOOGLETRANSLATE(A146, ""ko"", ""ja"")"
"서울특별시 송파구 올림픽로 240 (잠실동)","=GOOGLETRANSLATE(A147, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지화, 목 : 19시 30분 / 수, 금 : 14시 30분, 19시 30분 / 토, 공휴일 : 14시, 19시 / 일 : 14시 (월요일 공연 없음)
※ 5/5(화) 19시 공연","=GOOGLETRANSLATE(A148, ""ko"", ""ja"")"
"뮤지컬 〈비틀쥬스〉","=GOOGLETRANSLATE(A149, ""ko"", ""ja"")"
"LG아트센터 서울 LG SIGNATURE 홀","=GOOGLETRANSLATE(A150, ""ko"", ""ja"")"
"서울 강서구 마곡중앙로 136","=GOOGLETRANSLATE(A151, ""ko"", ""ja"")"
"예매가능시간: 관람 3시간 전까지화, 수, 목, 금 8시 / 주말 및 공휴일 2시, 7시 (월 공연 없음)

※ 3/11(수), 3/18(수) 2시 30분 공연 있음
※ 3/22(일) 7시 공연 없음

※ 회차별 1인 4매
※ 극장, 공연제작사 및 관계사의 협의에 따라 일부 좌석이 마감되었습니다.","=GOOGLETRANSLATE(A152, ""ko"", ""ja"")"
"뮤지컬 〈빌리 엘리어트〉","=GOOGLETRANSLATE(A153, ""ko"", ""ja"")"
"블루스퀘어 우리은행홀","=GOOGLETRANSLATE(A154, ""ko"", ""ja"")"
"서울 용산구 이태원로 294","=GOOGLETRANSLATE(A155, ""ko"", ""ja"")"
"예매가능시간: 관람 3시간 전까지화-금 7시 30분ㅣ토,일 2시, 7시 (월 공연 없음)

* 4/12(일) 7시 1회 공연
* 5/1(금) 2시, 7시 2회 공연
* 5/3(일) 2시 1회 공연
* 5/5(화) 2시, 7시 2회 공연
* 5/15(금) 2시 30분, 7시 30분 2회 공연
* 5/17(일) 2시 1회 공연

※ 4/25(토) 2시 공연은 전관으로 판매 마감되었습니다.
※ 극장, 공연제작사 및 관계사의 협의에 따라 일부 좌석이 마감되었습니다.","=GOOGLETRANSLATE(A156, ""ko"", ""ja"")"
"뮤지컬 〈빨래〉","=GOOGLETRANSLATE(A157, ""ko"", ""ja"")"
"NOL 유니플렉스 2관","=GOOGLETRANSLATE(A158, ""ko"", ""ja"")"
"서울특별시 종로구 동숭동 1-94","=GOOGLETRANSLATE(A159, ""ko"", ""ja"")"
"▶ 3월 13일(금) 19:30 구씨│한우열 → 김영환▶ 3월 18일(수) 19:30 구씨│한우열 → 김영환▶ 3월 19일(목) 19:30 구씨│안두호 → 유우헌","=GOOGLETRANSLATE(A160, ""ko"", ""ja"")"
"뮤지컬 〈슈퍼거북 슈퍼토끼〉 - 서울숲","=GOOGLETRANSLATE(A161, ""ko"", ""ja"")"
"서울숲 씨어터 2관","=GOOGLETRANSLATE(A162, ""ko"", ""ja"")"
"서울 성동구 뚝섬로 273","=GOOGLETRANSLATE(A163, ""ko"", ""ja"")"
"예매가능시간: 관람 3시간 전까지▶3월 공연정보(3/21~3/31)평일 공연없음 | 토요일 11시, 2시, 4시 | 일요일 및 공휴일 11시, 2시** 단, 3.24(화) 11시▶4-5월 공연정보(4/1~5/10)금 11시 | 주말 및 공휴일 11시, 2시** 단, 4.8(수), 4.14(화), 4.21(화), 4.23(목) 11시** 단, 5.1(금), 5.4(월) 11시 14시 / 5.5(화) 11시 2시 4시- 2차 티켓오픈 일시: 2026년 3월 11일(수)- 2차 티켓오픈 공연 기간: 2026년 4월 14일(화) ~ 5월 10일(일)","=GOOGLETRANSLATE(A164, ""ko"", ""ja"")"
"뮤지컬 〈스윙 데이즈_암호명 A〉","=GOOGLETRANSLATE(A165, ""ko"", ""ja"")"
"충무아트센터 대극장","=GOOGLETRANSLATE(A166, ""ko"", ""ja"")"
"서울 중구 퇴계로 387","=GOOGLETRANSLATE(A167, ""ko"", ""ja"")"
"예매가능시간: 관람 3시간 전까지화 - 목 19시 30분 / 금 14시 30분, 19시 30분 / 토 14시, 19시 / 일 15시 (월 공연 없음)단, 05/01(금), 05/05(화), 05/24(일) 14시, 19시 공연     05/25(월) 15시 공연     05/26(화) 공연없음","=GOOGLETRANSLATE(A168, ""ko"", ""ja"")"
"뮤지컬 〈스윙 데이즈_암호명 A〉공연예매권","=GOOGLETRANSLATE(A169, ""ko"", ""ja"")"
"화 - 목 19시 30분 / 금 14시 30분, 19시 30분 / 토 14시, 19시 / 일 15시 (월 공연 없음)","=GOOGLETRANSLATE(A170, ""ko"", ""ja"")"
"뮤지컬 〈어서 오세요, 휴남동 서점입니다〉 - 서울","=GOOGLETRANSLATE(A171, ""ko"", ""ja"")"
"루미나아트홀","=GOOGLETRANSLATE(A172, ""ko"", ""ja"")"
"서울 종로구 대학로8가길 52","=GOOGLETRANSLATE(A173, ""ko"", ""ja"")"
"[캐스팅 변경 안내]03/11(수) 기준 일부 캐스팅이 변경 되었습니다.* 캐스팅 변경은 하단 캐스팅 이미지에 형광 표시되어 있으니 참고 부탁드립니다.","=GOOGLETRANSLATE(A174, ""ko"", ""ja"")"
"뮤지컬 〈어서 오세요, 휴남동 서점입니다〉 - 서울(4월)","=GOOGLETRANSLATE(A175, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지수~금 19:30 / 토 14:00, 17:00 / 일 14:00 / 월,화 휴관","=GOOGLETRANSLATE(A176, ""ko"", ""ja"")"
"뮤지컬 〈여명의 눈동자〉 연장공연","=GOOGLETRANSLATE(A177, ""ko"", ""ja"")"
"Converse Stage Arena “여명”","=GOOGLETRANSLATE(A178, ""ko"", ""ja"")"
"서울 동작구 현충로 213","=GOOGLETRANSLATE(A179, ""ko"", ""ja"")"
