Original,TranslationFormula
"부산광역시 해운대구 좌동 대천로 187 , 장소 미정 (예약 후 안내 예정)","=GOOGLETRANSLATE(A93, ""ko"", ""en"")"
"250,000원","=GOOGLETRANSLATE(A94, ""ko"", ""en"")"
자유로움이 느껴지는 백드롭페인팅 원데이 그림 드로잉 클래스,"=GOOGLETRANSLATE(A95, ""ko"", ""en"")"
꾸덕꾸덕 오일파스텔 그림 페인팅 원데이클래스,"=GOOGLETRANSLATE(A96, ""ko"", ""en"")"
버려진 옷의 재탄생!업사이클 러블리 비즈핸들 가방&헤어핀 세트 만들기 방학원데이클래스,"=GOOGLETRANSLATE(A97, ""ko"", ""en"")"
경기도 · 수원시 · 권선구,"=GOOGLETRANSLATE(A98, ""ko"", ""en"")"
경기도 수원시 권선구,"=GOOGLETRANSLATE(A99, ""ko"", ""en"")"
스테인드글라스 썬캐쳐 만들기,"=GOOGLETRANSLATE(A100, ""ko"", ""en"")"
힙지로 MZ 탱고 _화.토_ 2040직장인 tango dance 클래스,"=GOOGLETRANSLATE(A101, ""ko"", ""en"")"
행복을 전하는 K 플로리스트,"=GOOGLETRANSLATE(A102, ""ko"", ""en"")"
울산광역시 남구 무거동 대학로 46,"=GOOGLETRANSLATE(A103, ""ko"", ""en"")"
나만의 은반지/은팔찌/목걸이 만들기,"=GOOGLETRANSLATE(A104, ""ko"", ""en"")"
경상남도 양산시 중부동 양주2길 26 1층,"=GOOGLETRANSLATE(A105, ""ko"", ""en"")"
마포 공덕 청사진 플라워 캔들리스 원데이클래스,"=GOOGLETRANSLATE(A106, ""ko"", ""en"")"
서울 · 마포구 · 도화2안길,"=GOOGLETRANSLATE(A107, ""ko"", ""en"")"
서울 마포구 도화2안길,"=GOOGLETRANSLATE(A108, ""ko"", ""en"")"
"79,200원","=GOOGLETRANSLATE(A109, ""ko"", ""en"")"
반려동물 강아지/고양이 도자기 물그릇,"=GOOGLETRANSLATE(A110, ""ko"", ""en"")"
"95,000원","=GOOGLETRANSLATE(A111, ""ko"", ""en"")"
수제약과 만들기,"=GOOGLETRANSLATE(A112, ""ko"", ""en"")"
트로디오빌빌딩,"=GOOGLETRANSLATE(A113, ""ko"", ""en"")"
서울특별시 마포구 신공덕동 백범로 199 메트로디오빌빌딩,"=GOOGLETRANSLATE(A114, ""ko"", ""en"")"
부산퍼스널컬러진단,"=GOOGLETRANSLATE(A115, ""ko"", ""en"")"
부산광역시 부산진구 서면로 10 2920호,"=GOOGLETRANSLATE(A116, ""ko"", ""en"")"
제주바다 레진 파도그리기~,"=GOOGLETRANSLATE(A117, ""ko"", ""en"")"
제주특별자치도 제주시 도두일동 1809-1 아트공간길,"=GOOGLETRANSLATE(A118, ""ko"", ""en"")"
나만의 테라리움 캔들 만들기,"=GOOGLETRANSLATE(A119, ""ko"", ""en"")"
나만의 반려식물 힙팟클래스,"=GOOGLETRANSLATE(A120, ""ko"", ""en"")"
부케캔들 부케왁스타블렛 플라워 원데이클래스,"=GOOGLETRANSLATE(A121, ""ko"", ""en"")"
티아라케이크 1호,"=GOOGLETRANSLATE(A122, ""ko"", ""en"")"
층  앙그미아,"=GOOGLETRANSLATE(A123, ""ko"", ""en"")"
서울특별시 강서구 염창동 양천로 661 2층  앙그미아,"=GOOGLETRANSLATE(A124, ""ko"", ""en"")"
실크스크린 정규수업,"=GOOGLETRANSLATE(A125, ""ko"", ""en"")"
"부산광역시 사상구 주례동 167-13 공공북스 페이지2, 냉정역 3번출구에서 200m","=GOOGLETRANSLATE(A126, ""ko"", ""en"")"
"260,000원","=GOOGLETRANSLATE(A127, ""ko"", ""en"")"
앙금플라워 떡케익 1호,"=GOOGLETRANSLATE(A128, ""ko"", ""en"")"
서울특별시 강서구 염창동 양천로 661   2층  앙그미아,"=GOOGLETRANSLATE(A129, ""ko"", ""en"")"
자유롭게 만드는 레진아트,"=GOOGLETRANSLATE(A130, ""ko"", ""en"")"
