Original,TranslationFormula
직접 체험하며 자연의 소중함을 배울 수 있는 곳,"=GOOGLETRANSLATE(A172, ""ko"", ""zh-cn"")"
옥천전통문화체험관,"=GOOGLETRANSLATE(A173, ""ko"", ""zh-cn"")"
충북 옥천군 옥천읍 향수길 100,"=GOOGLETRANSLATE(A174, ""ko"", ""zh-cn"")"
전통놀이부터 전통문화 체험 숙박까지!,"=GOOGLETRANSLATE(A175, ""ko"", ""zh-cn"")"
부산현대미술관,"=GOOGLETRANSLATE(A176, ""ko"", ""zh-cn"")"
좋은 전시를 무료로 감상하자!,"=GOOGLETRANSLATE(A177, ""ko"", ""zh-cn"")"
양주시 VR체험관,"=GOOGLETRANSLATE(A178, ""ko"", ""zh-cn"")"
경기 양주시 화합로1426번길 90,"=GOOGLETRANSLATE(A179, ""ko"", ""zh-cn"")"
90분 동안 진행되는 신나는 VR체험,"=GOOGLETRANSLATE(A180, ""ko"", ""zh-cn"")"
서해안안전체험관,"=GOOGLETRANSLATE(A181, ""ko"", ""zh-cn"")"
충남 서산시 잠홍2길 65,"=GOOGLETRANSLATE(A182, ""ko"", ""zh-cn"")"
실감나는 재난 안전 체험 공간,"=GOOGLETRANSLATE(A183, ""ko"", ""zh-cn"")"
Wake up 국제청소년센터,"=GOOGLETRANSLATE(A184, ""ko"", ""zh-cn"")"
충남 서산시 해미면 동문1길 42,"=GOOGLETRANSLATE(A185, ""ko"", ""zh-cn"")"
역사와 평화의 메시지를 담은 기억의 공간,"=GOOGLETRANSLATE(A186, ""ko"", ""zh-cn"")"
안성환경교육센터,"=GOOGLETRANSLATE(A187, ""ko"", ""zh-cn"")"
경기 안성시 보개면 보개산로 147-156,"=GOOGLETRANSLATE(A188, ""ko"", ""zh-cn"")"
안성시의 대표적인 환경교육 시설,"=GOOGLETRANSLATE(A189, ""ko"", ""zh-cn"")"
하남역사박물관,"=GOOGLETRANSLATE(A190, ""ko"", ""zh-cn"")"
경기도 하남시 덕풍동로 30,"=GOOGLETRANSLATE(A191, ""ko"", ""zh-cn"")"
하남의 역사와 문화를 알 수 있는 하남시 대표 박물관,"=GOOGLETRANSLATE(A192, ""ko"", ""zh-cn"")"
부산근현대역사관 본관,"=GOOGLETRANSLATE(A193, ""ko"", ""zh-cn"")"
부산 중구 대청로 112,"=GOOGLETRANSLATE(A194, ""ko"", ""zh-cn"")"
아이와 다녀오기 좋은 무료 박물관,"=GOOGLETRANSLATE(A195, ""ko"", ""zh-cn"")"
국립태권도박물관,"=GOOGLETRANSLATE(A196, ""ko"", ""zh-cn"")"
전북특별자치도 무주군 설천면 무설로 1482,"=GOOGLETRANSLATE(A197, ""ko"", ""zh-cn"")"
태권도의 역사를 한 눈에 볼 수 있는 곳,"=GOOGLETRANSLATE(A198, ""ko"", ""zh-cn"")"
영천메타버스체험관,"=GOOGLETRANSLATE(A199, ""ko"", ""zh-cn"")"
경북 영천시 화북면 천문로 2178,"=GOOGLETRANSLATE(A200, ""ko"", ""zh-cn"")"
아이가 즐겁게 미래를 경험해 볼 수 있는 곳,"=GOOGLETRANSLATE(A201, ""ko"", ""zh-cn"")"
태권도원체험관,"=GOOGLETRANSLATE(A202, ""ko"", ""zh-cn"")"
태권도를 재미있게 체험하고 배워보는 공간,"=GOOGLETRANSLATE(A203, ""ko"", ""zh-cn"")"
전쟁과여성인권박물관,"=GOOGLETRANSLATE(A204, ""ko"", ""zh-cn"")"
서울특별시 마포구 월드컵북로11길 20,"=GOOGLETRANSLATE(A205, ""ko"", ""zh-cn"")"
역사와 인권에 대한 메시지를 느낄 수 있어요,"=GOOGLETRANSLATE(A206, ""ko"", ""zh-cn"")"
충북안전체험관,"=GOOGLETRANSLATE(A207, ""ko"", ""zh-cn"")"
충북 청주시 상당구 다리실로 241,"=GOOGLETRANSLATE(A208, ""ko"", ""zh-cn"")"
안전에 관한 여러 체험을 할 수 있는 곳,"=GOOGLETRANSLATE(A209, ""ko"", ""zh-cn"")"
배다리성냥마을박물관,"=GOOGLETRANSLATE(A210, ""ko"", ""zh-cn"")"
인천 동구 금곡로 19,"=GOOGLETRANSLATE(A211, ""ko"", ""zh-cn"")"
그 시절 성냥 한 개비의 추억 속으로!,"=GOOGLETRANSLATE(A212, ""ko"", ""zh-cn"")"
판교박물관,"=GOOGLETRANSLATE(A213, ""ko"", ""zh-cn"")"
경기도 성남시 분당구 판교로 191,"=GOOGLETRANSLATE(A214, ""ko"", ""zh-cn"")"
여러 가지 체험하면서 배우는 역사,"=GOOGLETRANSLATE(A215, ""ko"", ""zh-cn"")"
태백석탄박물관,"=GOOGLETRANSLATE(A216, ""ko"", ""zh-cn"")"
강원특별자치도 태백시 천제단길 195,"=GOOGLETRANSLATE(A217, ""ko"", ""zh-cn"")"
탄광촌의 과거를 느껴볼 수 있는 곳,"=GOOGLETRANSLATE(A218, ""ko"", ""zh-cn"")"
태백고생대자연사박물관,"=GOOGLETRANSLATE(A219, ""ko"", ""zh-cn"")"
강원특별자치도 태백시 태백로 2249,"=GOOGLETRANSLATE(A220, ""ko"", ""zh-cn"")"
과거로 여행을 떠나는 박물관,"=GOOGLETRANSLATE(A221, ""ko"", ""zh-cn"")"
드림닥터 의사직업체험 일산점,"=GOOGLETRANSLATE(A222, ""ko"", ""zh-cn"")"
경기도 고양시 일산동구 중앙로 1036 베스트 고양터미널 지하1층,"=GOOGLETRANSLATE(A223, ""ko"", ""zh-cn"")"
정읍시립박물관,"=GOOGLETRANSLATE(A224, ""ko"", ""zh-cn"")"
전북특별자치도 정읍시 내장산로 370-12,"=GOOGLETRANSLATE(A225, ""ko"", ""zh-cn"")"
체험거리가 가득한 무료 박물관,"=GOOGLETRANSLATE(A226, ""ko"", ""zh-cn"")"
벽골제농경사주제관,"=GOOGLETRANSLATE(A227, ""ko"", ""zh-cn"")"
전북 김제시 부량면 벽골제로 442 벽골제농경사주제관,"=GOOGLETRANSLATE(A228, ""ko"", ""zh-cn"")"
농경 역사를 알아볼 수 있는 체험 박물관,"=GOOGLETRANSLATE(A229, ""ko"", ""zh-cn"")"
백제문화체험박물관,"=GOOGLETRANSLATE(A230, ""ko"", ""zh-cn"")"
충청남도 청양군 대치면 장곡길 43-24,"=GOOGLETRANSLATE(A231, ""ko"", ""zh-cn"")"
숨겨진 청양 속 백제역사!,"=GOOGLETRANSLATE(A232, ""ko"", ""zh-cn"")"
전주공예품전시관,"=GOOGLETRANSLATE(A233, ""ko"", ""zh-cn"")"
전북 전주시 완산구 태조로 15 공예품전시관 공예품전시관,"=GOOGLETRANSLATE(A234, ""ko"", ""zh-cn"")"
한옥마을 내 많은 포토존과 체험 거리가 있는 곳,"=GOOGLETRANSLATE(A235, ""ko"", ""zh-cn"")"
가야산역사신화공원테마관,"=GOOGLETRANSLATE(A236, ""ko"", ""zh-cn"")"
경북 성주군 수륜면 가야산식물원길 21,"=GOOGLETRANSLATE(A237, ""ko"", ""zh-cn"")"
가야의 역사 이야기를 테마로 만날 수 있는 곳,"=GOOGLETRANSLATE(A238, ""ko"", ""zh-cn"")"
땅끝해양자연사박물관,"=GOOGLETRANSLATE(A239, ""ko"", ""zh-cn"")"
전라남도 해남군 송지면 땅끝마을길 89,"=GOOGLETRANSLATE(A240, ""ko"", ""zh-cn"")"
지구에서 제일 큰 동물 대왕고래 뼈가 있어요,"=GOOGLETRANSLATE(A241, ""ko"", ""zh-cn"")"
충주다목적댐 물 문화관,"=GOOGLETRANSLATE(A242, ""ko"", ""zh-cn"")"
충북 충주시 동량면 지등로 745,"=GOOGLETRANSLATE(A243, ""ko"", ""zh-cn"")"
숲 놀이터와 충주호의 풍경을 감상할 수 있는 곳,"=GOOGLETRANSLATE(A244, ""ko"", ""zh-cn"")"
오죽헌·시립박물관,"=GOOGLETRANSLATE(A245, ""ko"", ""zh-cn"")"
강원 강릉시 율곡로3139번길 24 오죽헌 오죽헌,"=GOOGLETRANSLATE(A246, ""ko"", ""zh-cn"")"
강릉의 대표적인 관광지,"=GOOGLETRANSLATE(A247, ""ko"", ""zh-cn"")"
금촌초등학교 안전체험관,"=GOOGLETRANSLATE(A248, ""ko"", ""zh-cn"")"
경기 파주시 동산3길 38-11 금촌초등학교,"=GOOGLETRANSLATE(A249, ""ko"", ""zh-cn"")"
무료로 안전체험을 교육 받을 수 있는 곳,"=GOOGLETRANSLATE(A250, ""ko"", ""zh-cn"")"
화랑마을 전시관&놀이터,"=GOOGLETRANSLATE(A251, ""ko"", ""zh-cn"")"
경북 경주시 석현로 123,"=GOOGLETRANSLATE(A252, ""ko"", ""zh-cn"")"
"전시, 교육, 체험이 있는 화랑전시관과 놀이터","=GOOGLETRANSLATE(A253, ""ko"", ""zh-cn"")"
국립익산박물관 어린이박물관,"=GOOGLETRANSLATE(A254, ""ko"", ""zh-cn"")"
전북특별자치도 익산시 금마면 미륵사지로 362,"=GOOGLETRANSLATE(A255, ""ko"", ""zh-cn"")"
백제 미륵사를 다양한 체험을 통해 배워보기,"=GOOGLETRANSLATE(A256, ""ko"", ""zh-cn"")"
진해해양공원,"=GOOGLETRANSLATE(A257, ""ko"", ""zh-cn"")"
경남 창원시 진해구 명동로 62,"=GOOGLETRANSLATE(A258, ""ko"", ""zh-cn"")"
"생태학습관, 해양 생물테마파크가 한 곳에!","=GOOGLETRANSLATE(A259, ""ko"", ""zh-cn"")"
